ID,Latitude,Longitude,StemCount,StemNumber,BasalDiameter,CanopyBearing,CanopyHeight,CanopyDiameter,Comments
1,31.78992,-110.82809,1,1,24.2,N,8.5,8.02,
1,,,,,,S,6.7,,
1,,,,,,NE,6.8,6.39,
1,,,,,,SW,6.2,,
1,,,,,,E,5.1,6.59,
1,,,,,,W,6.7,,
1,,,,,,SE,6.2,6.73,
1,,,,,,NW,7.7,,
2,31.78969,-110.82817,3,1,23,N,3.7,5.53,
2,,,,2,2.8,S,3.5,,
2,,,,3,10.1,NE,3.4,4.56,
2,,,,,,SW,3.3,,
2,,,,,,E,3.3,4.57,
2,,,,,,W,3.6,,
2,,,,,,SE,3.3,5.13,
2,,,,,,NW,3.6,,
3,31.78923,-110.82815,2,1,3,N,1.5,1.96,
3,,,,2,3,S,1.5,,
3,,,,,,NE,1.5,2.03,
3,,,,,,SW,1.5,,
3,,,,,,E,1.6,1.44,
3,,,,,,W,1.5,,
3,,,,,,SE,1.5,1.37,
3,,,,,,NW,1.5,,
4,31.78918,-110.82787,7,1,5.2,N,2.8,4.07,
4,,,,2,5.2,S,2.7,,
4,,,,3,4.6,NE,2.7,3.35,
4,,,,4,3.3,SW,3,,
4,,,,5,3.1,E,2.7,3.87,
4,,,,6,4.2,W,2.7,,
4,,,,7,2.3,SE,2.7,2.15,
4,,,,,,NW,3.5,,
5,31.78932,-110.8278,1,1,17.8,N,3.9,4.78,
5,,,,,,S,3.6,,
5,,,,,,NE,3.5,4.1,
5,,,,,,SW,3.6,,
5,,,,,,E,3.6,4.42,
5,,,,,,W,3.6,,
5,,,,,,SE,3.6,3.99,
5,,,,,,NW,3.9,,
6,31.78917,-110.82757,5,1,4.6,N,2.5,2.82,
6,,,,2,3.6,S,2.5,,
6,,,,3,2.3,NE,2.3,2.44,
6,,,,4,0.8,SW,2.5,,
6,,,,5,3.7,E,2.4,1.96,
6,,,,,,W,2.6,,
6,,,,,,SE,2.4,2.53,
6,,,,,,NW,2.4,,
7,31.78942,-110.82787,1,1,38.7,N,8,11.16,REF DIST 7M
7,,,,,,S,8.7,,
7,,,,,,NE,7.4,8.56,
7,,,,,,SW,8.4,,
7,,,,,,E,8.2,9.45,
7,,,,,,W,7.6,,
7,,,,,,SE,8.1,8.7,
7,,,,,,NW,7.5,,
8,31.78955,-110.82722,1,1,3.1,N,1.6,0.84,
8,,,,,,S,1.5,,
8,,,,,,NE,1.7,1.14,
8,,,,,,SW,1.6,,
8,,,,,,E,1.8,1.08,
8,,,,,,W,1.7,,
8,,,,,,SE,1.6,1.09,
8,,,,,,NW,1.8,,
9,31.7897,-110.82713,1,1,5.8,N,3.3,5.19,FULL BASAL 15.67CM
9,,,,2,3.6,S,3.3,,
9,,,,3,3.4,NE,3.5,4.79,
9,,,,4,6.9,SW,3.2,,
9,,,,5,5.5,E,3.2,4.43,
9,,,,6,3.8,W,3,,
9,,,,7,6.6,SE,2.9,4.86,
9,,,,8,1.8,NW,3.6,,
10,31.78954,-110.82777,1,1,35.8,N,10.9,8.78,GREYTHORN UNDER CANOPY
10,,,,,,S,7.7,,
10,,,,,,NE,8.7,9.79,
10,,,,,,SW,7.7,,
10,,,,,,E,9.1,9.44,
10,,,,,,W,9.8,,
10,,,,,,SE,8.1,8.7,
10,,,,,,NW,9.3,,
